"probSolving01","probSolving02","probSolving03","fin_strain01","fin_strain02","fin_strain03","w7_SE_quit","w5_SE_quit","w5_lifeSat","SE_start_recode","age","gender","edu","coded_country_num","w5_fin_strain01","w5_SE_employees_dich","coded_country","fin_strain","probSolving","age_labeled","region"
4,4,5,1,1,1,-2,-2,4,14,6,2,5,24,1,0,"Romania",1,4.33333333333333,"65-75","Europe"
5,5,4,-2,-1,-2,NA,-3,6,1,2,1,6,24,-2,0,"Romania",-1.66666666666667,4.66666666666667,"25-34","Europe"
4,4,4,-2,-2,-2,-2,-2,5,0,2,2,5,24,-1,1,"Romania",-2,4,"25-34","Europe"
5,3,3,-1,1,-1,NA,1,5,7,3,2,3,17,1,1,"Kazakhstan",-0.333333333333333,3.66666666666667,"35-44","Central and West Asia"
5,5,5,2,2,2,-1,0,5,9,3,2,5,17,2,0,"Kazakhstan",2,5,"35-44","Central and West Asia"
4,2,4,0,1,-1,NA,1,4,3,4,2,5,25,0,0,"Russia",0,3.33333333333333,"45-54","Europe"
5,5,5,-2,2,-2,-3,-3,4,6,3,2,4,17,-1,1,"Kazakhstan",-0.666666666666667,5,"35-44","Central and West Asia"
5,3,4,-1,0,-1,NA,-3,4,1,3,2,7,25,0,0,"Russia",-0.666666666666667,4,"35-44","Europe"
4,2,2,0,1,0,-3,-2,2,6,4,2,2,25,1,1,"Russia",0.333333333333333,2.66666666666667,"45-54","Europe"
4,3,4,1,2,0,1,-1,4,9,5,2,5,23,1,1,"Republic of Serbia",1,3.66666666666667,"55-64","Europe"
5,5,5,1,1,0,NA,2,3,1,5,1,3,23,0,0,"Republic of Serbia",0.666666666666667,5,"55-64","Europe"
3,5,5,-2,-2,-1,-2,-2,6,11,3,1,5,23,-2,0,"Republic of Serbia",-1.66666666666667,4.33333333333333,"35-44","Europe"
4,4,4,1,1,1,1,-3,3,2,3,1,3,23,1,1,"Republic of Serbia",1,4,"35-44","Europe"
4,3,4,2,1,1,2,2,2,0,4,2,3,23,2,0,"Republic of Serbia",1.33333333333333,3.66666666666667,"45-54","Europe"
4,4,4,0,0,-2,-2,-2,5,35,5,1,2,23,0,0,"Republic of Serbia",-0.666666666666667,4,"55-64","Europe"
5,5,4,-1,1,-1,-3,-3,6,1,3,1,6,23,-2,0,"Republic of Serbia",-0.333333333333333,4.66666666666667,"35-44","Europe"
5,5,5,0,2,-1,NA,-3,2,23,5,2,6,29,-1,1,"Turkey",0.333333333333333,5,"55-64","Central and West Asia"
5,5,5,1,1,1,NA,-2,4,5,3,1,6,30,1,0,"Ukraine",1,5,"35-44","Europe"
